time,area_h1,area_h2,area_h3,area_h4,area_h5,dt,temp_avg,temp_max,temp_min
102,1070.238211562,7591.3682658391,7638.6561483654,19520.10840094,9179.628973293,2,425.95413103528,2521.8516795967,300.00000000378
104,1081.2569365875,7584.9383914093,7625.0266005066,19529.849547379,9178.9285241176,2,427.86577980521,2532.2451512715,300.00000000518
106,1092.5098322353,7578.3673532525,7611.4812899982,19539.427674014,9178.2138504995,2,429.76980071028,2542.9135997325,300.00000000705
108,1103.904988395,7571.7270301268,7598.2286139293,19548.653956343,9177.4854112059,2,431.66698028358,2551.6242478897,300.00000000952
110,1114.9835951056,7565.0843140303,7585.6368433821,19557.551690359,9176.7435571231,2,433.55729384482,2562.3940315646,300.00000001278
112,1125.9608096599,7558.4878892507,7573.1168253939,19566.445928732,9175.9885469632,2,435.44094632804,2572.2060573028,300.00000001703
114,1137.3485005255,7551.9672297007,7559.8596670831,19575.6040407,9175.2205619901,2,437.31876404998,2580.7171409544,300.00000002254
116,1148.9468359013,7545.5373440864,7546.2404759947,19584.835625388,9174.4397186291,2,439.19117630919,2590.3491539906,300.00000002965
118,1160.4148064515,7539.202760265,7532.797164754,19593.939191342,9173.6460771871,2,441.0580685384,2598.1441609568,300.00000003876
120,1171.8432509974,7532.959939577,7519.3829378199,19602.97422283,9172.8396487761,2,442.91947345682,2606.9861667783,300.00000005036
122,1183.6001456036,7526.799133534,7505.5523055713,19612.028012904,9172.0204023874,2,444.775981148,2616.0246027883,300.00000006506
124,1195.4861810628,7520.7050152286,7491.1671773121,19621.453355126,9171.1882712702,2,446.62793561504,2623.2687303289,300.00000008356
126,1207.1223447328,7514.6561711645,7475.8753145615,19632.003011509,9170.3431580318,2,448.47514464291,2632.0182944077,300.00000010674
128,1218.8224359373,7508.6252051212,7459.7336354385,19643.333780575,9169.4849429275,2,450.31755608305,2639.2417801142,300.00000013563
130,1231.4746142511,7502.5788025801,7443.441626375,19653.891463219,9168.6134935743,2,452.1558320147,2646.3266863409,300.00000017146
132,1245.0273291133,7496.4759967272,7427.628177313,19663.139828513,9167.7286683332,2,453.99044081537,2654.8863258394,300.00000021567
134,1258.9489559081,7490.2683484408,7412.7365597209,19671.215822051,9166.8303138789,2,455.82122144967,2661.7110527484,300.00000026999
136,1272.9783839168,7483.909350071,7399.1661842561,19678.027823176,9165.9182585795,2,457.64789832959,2669.1435031414,300.00000033643
138,1287.3793913854,7477.3739071733,7386.6741467978,19683.580246379,9164.9923082641,2,459.47076185632,2676.0215888579,300.00000041733
140,1302.1405404213,7470.6756098351,7374.787196533,19688.344392654,9164.0522605563,2,461.29019896642,2681.4951450615,300.00000051544
142,1316.9093879573,7463.8641759529,7363.2551258373,19692.873369513,9163.0979407399,2,463.10610740363,2689.7906322613,300.00000063394
