time,area_h1,area_h2,area_h3,area_h4,area_h5,dt,temp_avg,temp_max,temp_min
151,0.43327244028489,7517.2433186349,9738.8561807176,18533.213822166,9210.2534060411,2,341.53086741471,784.38150156889,300.00000037826
153,0.42729715223766,7513.5743166873,9750.62426662,18525.043809474,9210.3303100663,2,341.97205030255,785.66809157329,300.00000045566
155,0.42147869237181,7509.937636502,9762.1101135075,18517.136703878,9210.3940674194,2,342.41275121691,786.69513677359,300.00000054692
157,0.41581109917628,7506.3237668742,9773.3393622677,18509.476510345,9210.4445494135,2,342.85298962271,787.88434980789,300.00000065438
159,0.41028871012795,7502.7229346363,9784.3389053242,18502.046207447,9210.4816638818,2,343.29278412806,788.94160356584,300.00000078047
161,0.40490614306862,7499.1255336856,9795.1358686529,18494.828329902,9210.5053616158,2,343.73215252305,789.84429516791,300.00000092784
163,0.39965827909906,7495.5224025485,9805.756725238,18487.805571848,9210.5156420857,2,344.17111181646,791.14188305331,300.00000109959
165,0.39454024676659,7491.9048178444,9816.2268043757,18480.961281918,9210.5125556154,2,344.60967827074,792.18080830743,300.00000129933
167,0.38954740732568,7488.264311986,9826.5701718117,18474.279768561,9210.4962002334,2,345.04786743509,793.20589804435,300.00000153095
169,0.38467534089452,7484.5925829747,9836.8095947674,18467.746433445,9210.4667134723,2,345.48569417719,794.27859720896,300.00000179884
171,0.37991983343901,7480.8816828864,9846.9662714572,18461.347864382,9210.4242614413,2,345.92317271342,795.09502811983,300.00000210787
173,0.37527686455244,7477.1244805828,9857.0591084802,18455.072105825,9210.369028247,2,346.36031663782,796.27164672187,300.0000024634
175,0.37074259604098,7473.3153697471,9867.1033288494,18448.909350674,9210.3012081338,2,346.79713894997,797.33053124876,300.00000287156
177,0.3663133613178,7469.45133324,9877.1081312405,18442.853221011,9210.2210011475,2,347.23365208177,798.20153300586,300.00000333889
179,0.36198565556016,7465.5334205667,9887.0734254222,18436.902556662,9210.1286116934,2,347.66986792333,799.29700361896,300.00000387282
181,0.35775612656759,7461.568230903,9896.9865934335,18431.063170861,9210.0242486759,2,348.1057978479,800.13652725402,300.00000448155
183,0.35362156624657,7457.5684699125,9906.8212130629,18425.348569383,9209.9081260749,2,348.54145273605,801.09949482364,300.00000517391
185,0.34957890266212,7453.5517516753,9916.5394986112,18419.778707445,9209.7804633657,2,348.97684299886,802.18470006365,300.00000595989
187,0.34562519264685,7449.5377662182,9926.0983044017,18414.376818359,9209.6414858281,2,349.41197860013,803.01425066574,300.0000068502
189,0.34175761495743,7445.5449769786,9935.4562753606,18409.165565047,9209.491424999,2,349.84686907748,804.03380123376,300.0000078567
191,0.33797346396053,7441.5881719269,9944.5792410562,18404.164094131,9209.3305194214,2,350.28152356215,804.90201955503,300.00000899239
193,0.33427014379433,7437.6774530004,9953.4424803089,18399.386780877,9209.1590156699,2,350.71595079763,805.65925807974,300.0000102713
195,0.33064516294234,7433.8184498401,9962.0303094985,18394.843425968,9208.97716953,2,351.15015915715,806.77583233442,300.00001170891
197,0.32709612916223,7430.0132567398,9970.3342122495,18390.540187693,9208.7852471884,2,351.5841566602,807.6367944166,300.00001332197
199,0.32362074471943,7426.2616753091,9978.3505540039,18386.480623591,9208.5835263514,2,352.0179509882,808.5188871514,300.00001512874
201,0.32021680188555,7422.5624266547,9986.0785445404,18382.666514801,9208.3722972013,2,352.45154949933,809.42027588635,300.00001714903
203,0.31688217867477,7418.9139894399,9993.5188691256,18379.098395999,9208.151863257,2,352.88495924269,810.06829768393,300.0000194042
205,0.31361483480287,7415.3148283628,10000.673167476,18375.775847158,9207.9225421684,2,353.3181869717,811.13039954738,300.00002191751
207,0.3104128078612,7411.7631089564,10007.544169665,18372.697641895,9207.6846666754,2,353.75123915695,812.02670945337,300.00002471401
209,0.30727420969572,7408.256328695,10014.135980759,18369.861830378,9207.4385859578,2,354.18412199844,812.77671656167,300.00002782084
211,0.30419722298443,7404.7912996504,10020.454035202,18367.265800354,9207.1846675701,2,354.61684143726,813.71488540715,300.00003126706
213,0.30118009800398,7401.3645364607,10026.504649172,18364.906334119,9206.9233001499,2,355.04940316675,814.39945672825,300.00003508418
215,0.29822114956238,7397.9726888317,10032.294522641,18362.779670262,9206.6548971151,2,355.4818126431,815.27021211088,300.00003930587
217,0.2953187540796,7394.6126354914,10037.830567972,18360.881576158,9206.3799016245,2,355.91407509537,816.20506202876,300.0000439686
219,0.2924713468733,7391.2812337605,10043.120060114,18359.207441633,9206.0987931452,2,356.34619553509,816.88636277702,300.00004911116
221,0.28967741947961,7387.9750077139,10048.170852453,18357.752365826,9205.8120965879,2,356.77817876527,817.80541948429,300.00005477518
223,0.28693551721764,7384.6901174353,10052.991297027,18356.511255609,9205.5203944114,2,357.21002938914,818.5294173564,300.00006100535
225,0.28424423683286,7381.4225751188,10057.589938091,18355.478899247,9205.2243433068,2,357.64175181837,819.21344853604,300.00006784941
227,0.28160222427033,7378.1684624704,10061.975215327,18354.650022841,9204.9246971373,2,358.07335028097,820.18944730782,300.00007535831
229,0.27900817255564,7374.9239221242,10066.155401606,18354.019329216,9204.6223388807,2,358.50482882884,820.911569659,300.00008358643
231,0.27646081978636,7371.6849500083,10070.138743527,18353.581519858,9204.3183257864,2,358.93619134488,821.70829382231,300.00009259161
233,0.27395894722533,7368.4471949482,10073.93359691,18353.331295059,9204.0139541358,2,359.36744154992,822.47408470354,300.00010243566
235,0.2715013774899,7365.2059245608,10077.548399181,18353.263321587,9203.710853293,2,359.79858300931,822.98830064403,300.00011318409
237,0.26908697283821,7361.9561281846,10080.991508424,18353.372152483,9203.4111239353,2,360.22961913926,823.99471075609,300.00012490683
239,0.26671463353708,7358.6925799304,10084.271082664,18353.652079287,9203.1175434851,2,360.66055321298,824.75977039565,300.00013767776
241,0.26438329631418,7355.409676012,10087.395172056,18354.096893711,9202.8338749249,2,361.09138836648,825.43740891057,300.00015157555
243,0.26209193288719,7352.1009507156,10090.372085288,18354.699536943,9202.5653351203,2,361.52212760408,826.24695023956,300.00016668336
245,0.25983954857285,7348.7583027587,10093.210921888,18355.451630365,9202.3193054395,2,361.95277380363,826.80442639123,300.00018308936
247,0.25762518097427,7345.3711354511,10095.921914631,18356.342932273,9202.1063924633,2,362.38332972141,827.63348631966,300.00020088683
249,0.25544789873865,7341.9258738544,10098.515843651,18357.360899477,9201.9419351184,2,362.81379799658,828.44323889654,300.00022017432
251,0.25330680038013,7338.4066542733,10101.00130483,18358.490824096,9201.8479099996,2,363.2441811553,829.00463228362,300.000241056
253,0.25120101314558,7334.7982173378,10103.378393042,18359.71746526,9201.8547233473,2,363.67448161458,829.85955114186,300.00026364175
255,0.24912969189327,7331.0916604035,10105.628457964,18361.029272497,9202.0014794438,2,364.1047016865,830.46190304464,300.00028804732
257,0.24709201793562,7327.2917599088,10107.703582731,18362.424978875,9202.332586467,2,364.5348435833,831.11661271597,300.00031439512
259,0.24508719787111,7323.4211393895,10109.525049864,18363.918817157,9202.8899063906,2,364.96490942429,831.97252296619,300.00034281352
261,0.24311446237488,7319.516004458,10110.998508136,18365.538653813,9203.7037191308,2,365.39490124402,832.57579174739,300.00037343787
263,0.24117306510224,7315.6145866199,10112.039702221,18367.316332381,9204.7882057136,2,365.82482100031,833.32183619287,300.00040641043
265,0.23926228173872,7311.7464432132,10112.593696082,18369.277256582,9206.1433418409,2,366.25467058055,833.97042162196,300.00044188071
267,0.2373814092077,7307.928791553,10112.638149875,18371.436120935,9207.7595562273,2,366.68445180565,834.45346972067,300.00048000556
269,0.23552976497941,7304.1688718361,10112.175472334,18373.799031827,9209.6210942371,2,367.1141664327,835.35676772971,300.00052094967
271,0.23370668645215,7300.4682209167,10111.223088574,18376.368302288,9211.706681534,2,367.54381615709,836.00691051071,300.00056488572
